id,p1_poke1,p1_poke2,p1_poke3,p1_poke4,p1_poke5,p1_poke6,p2_poke1,p2_poke2,p2_poke3,p2_poke4,p2_poke5,p2_poke6,p1_choice,p2_choice
1,Aerodactyl,Scizor,Jirachi,Starmie,Garchomp,Dragonite,Excadrill,Rotom-Wash,Tyranitar,Celebi,Landorus-Therian,Keldeo,Aerodactyl,Rotom-Wash
2,Excadrill,Rotom-Wash,Tyranitar,Celebi,Landorus-Therian,Keldeo,Breloom,Scizor,Keldeo,Starmie,Garchomp,Dragonite,Keldeo,Garchomp
3,Hippowdon,Jellicent,Heatran,Alakazam,Ferrothorn,Latios,Tyranitar,Landorus-Therian,Heatran,Alakazam,Ferrothorn,Jellicent,Heatran,Jellicent
4,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Abomasnow,Ninetales,Gyarados,Jirachi,Reuniclus,Donphan,Tyranitar,Reuniclus
5,Excadrill,Rotom-Wash,Ninetales,Victini,Latias,Landorus-Therian,Xatu,Forretress,Hippowdon,Quagsire,Chansey,Jellicent,Ninetales,Hippowdon
6,Excadrill,Rotom-Wash,Tyranitar,Celebi,Landorus-Therian,Keldeo,Breloom,Scizor,Keldeo,Starmie,Garchomp,Dragonite,Rotom-Wash,Garchomp
7,Xatu,Tyranitar,Latias,Seismitoad,Ferrothorn,Latios,Jellicent,Reuniclus,Heatran,Gliscor,Ferrothorn,Latios,Seismitoad,Gliscor
8,Xatu,Forretress,Chansey,Ninetales,Seismitoad,Cresselia,Excadrill,Breloom,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Seismitoad,Terrakion
9,Kyurem,Chansey,Skarmory,Gliscor,Tentacruel,Politoed,Forretress,Hippowdon,Rotom-Wash,Celebi,Terrakion,Latias,Politoed,Rotom-Wash
10,Excadrill,Rotom-Wash,Celebi,Tyranitar,Terrakion,Landorus-Therian,Xatu,Quagsire,Chansey,Sableye,Jirachi,Tentacruel,Rotom-Wash,Tentacruel
11,Hydreigon,Magnezone,Jirachi,Latias,Garchomp,Dragonite,Thundurus-Therian,Scizor,Ferrothorn,Starmie,Politoed,Keldeo-Resolute,Jirachi,Ferrothorn
12,Forretress,Hippowdon,Celebi,Probopass,Gliscor,Slowbro,Empoleon,Gyarados,Starmie,Politoed,Lapras,Lanturn,Hippowdon,Empoleon
13,Xatu,Forretress,Chansey,Ninetales,Seismitoad,Cresselia,Xatu,Celebi,Vaporeon,Jirachi,Politoed,Dragonite,Seismitoad,Vaporeon
14,Rotom-Wash,Tyranitar,Landorus-Therian,Ferrothorn,Garchomp,Latios,Thundurus-Therian,Ferrothorn,Magnezone,Sharpedo,Starmie,Politoed,Rotom-Wash,Ferrothorn
15,Scizor,Magnezone,Starmie,Garchomp,Dragonite,Latios,Chansey,Volcarona,Ninetales,Heatran,Cresselia,Donphan,Garchomp,Ninetales
16,Scizor,Rotom-Wash,Tyranitar,Terrakion,Garchomp,Latios,Magnezone,Jirachi,Landorus-Therian,Clefable,Starmie,Latios,Tyranitar,Clefable
17,Xatu,Tyranitar,Latias,Seismitoad,Ferrothorn,Latios,Scizor,Rotom-Wash,Jirachi,Landorus-Therian,Keldeo,Latios,Seismitoad,Rotom-Wash
18,Scizor,Tyranitar,Jellicent,Keldeo,Ferrothorn,Latios,Forretress,Rotom-Wash,Celebi,Mienshao,Landorus-Therian,Dragonite,Ferrothorn,Mienshao
19,Hippowdon,Jirachi,Starmie,Roserade,Garchomp,Dragonite,Breloom,Scizor,Tyranitar,Swampert,Garchomp,Latios,Jirachi,Latios
20,Mew,Tyranitar,Magnezone,Gliscor,Starmie,Amoonguss,Rotom-Wash,Tyranitar,Mienshao,Jirachi,Garchomp,Latios,Amoonguss,Garchomp
21,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Breloom,Scizor,Terrakion,Starmie,Garchomp,Dragonite,Landorus-Therian,Terrakion
22,Celebi,Jirachi,Landorus-Therian,Tentacruel,Politoed,Keldeo-Resolute,Thundurus-Therian,Gyarados,Politoed,Starmie,Ferrothorn,Latios,Landorus-Therian,Politoed
23,Thundurus-Therian,Ferrothorn,Mamoswine,Keldeo,Tentacruel,Politoed,Magnezone,Jirachi,Landorus-Therian,Clefable,Starmie,Latios,Politoed,Starmie
24,Kyurem,Abomasnow,Magnezone,Starmie,Garchomp,Dragonite,Kyurem,Abomasnow,Jirachi,Reuniclus,Gliscor,Starmie,Magnezone,Jirachi
25,Scizor,Kyurem-Black,Salamence,Jirachi,Landorus-Therian,Starmie,Excadrill,Xatu,Chansey,Ninetales,Volcarona,Cresselia,Salamence,Ninetales
26,Scizor,Abomasnow,Kyurem-Black,Reuniclus,Landorus-Therian,Tentacruel,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Tentacruel,Tyranitar
27,Forretress,Rotom-Wash,Celebi,Mienshao,Landorus-Therian,Dragonite,Gengar,Tyranitar,Skarmory,Gastrodon,Reuniclus,Latios,Rotom-Wash,Gengar
